cus_Gender,cus_MartialTypeId,cus_Dependants,cus_CurrenResTypeId,cus_CurrenStyYear,cus_CustomerType,cus_Age,IndustryType,CustomerProfile,CustomerSegment,MarketType,MarketNoofYearsinBusiness,app_CustProductCatTypeId,app_CustTenure,app_CustInstalCount,app_CustChasAsset,app_CustChasInitial,app_CustChasFinance,app_CustFinanInterest,app_CustEMI,app_CustGrossLoan,app_CustViaIncomEstIncPm,app_CustViaExpTotExpense,app_CustViaGrossSurplus,app_CustUVAge,app_CustBrandTypeId,app_CustBankClosBal,Label
M,2750,3,2755,15,596,38,1783,2693,2695,2729,4,529,36,35,222500,22500,200000,12,7891.57,276205.1,37500,10625,26875,0,746,7891.57,Pay
M,2750,5,2755,25,596,29,603,2693,2695,2729,8,531,48,47,619766,42766,577000,6.1,15463.1,726765.94,60000,21755,38245,0,564,15463.1,Pay
M,2750,6,2755,18,596,25,604,2693,2695,2729,6,529,36,35,227000,27000,200000,13,8038.68,281354.07,31500,13200,18300,0,746,8038.68,Pay
M,2750,4,2755,45,596,49,604,2693,2695,2729,9,529,30,28,227000,27000,200000,11,9546.74,267308.85,45000,8110,36890,0,746,9546.74,Pay
M,2750,7,2755,20,596,40,1783,2693,2695,2729,12,531,36,35,619766,219766,400000,6,13758.02,481530.86,87500,35383,52117,0,564,13758.02,Pay
F,2750,3,2755,35,596,44,1783,2693,2695,2729,8,531,48,46,592000,42000,550000,8.4,15991.91,735628.32,45000,12575,32425,0,564,15991.91,Pay
M,2750,7,2755,20,596,29,604,2693,2695,2729,8,529,36,35,227000,27000,200000,13,8044.2,281547.28,30000,11420,18580,0,746,8044.2,Pay
M,2750,3,2755,14,596,47,1783,2693,2695,2729,8,531,48,47,687907,34907,653000,7.3,17974.34,844794.13,151200,58000,93200,0,746,17974.34,Pay
M,2750,4,2755,16,596,40,1783,2693,2695,2729,8,529,36,35,227000,27000,200000,12,7944.56,278059.76,37500,11375,26125,0,746,7944.56,Pay
M,2750,3,2755,45,596,35,604,2693,2695,2729,5,529,36,34,227000,27000,200000,11.2,7983.42,271436.45,45000,8110,36890,0,746,7983.42,Pay
F,2750,4,2755,15,596,43,876,2693,2695,2729,6,529,36,34,222500,22500,200000,11.2,8043.58,273481.87,45000,8110,36890,0,746,8043.58,Pay
F,2750,4,2755,32,596,33,604,2693,2695,2729,11,529,36,34,227000,27000,200000,11.2,7964.48,270792.5,45000,8110,36890,0,746,7964.48,Pay
M,2750,3,2755,34,596,29,604,2693,2695,2729,5,529,36,34,225000,25000,200000,11.2,7959.1,270609.47,45000,8110,36890,0,747,7959.1,Pay
M,2750,3,2755,38,596,35,604,2693,2695,2729,8,529,36,34,227000,27000,200000,11.2,7983.42,271436.45,45000,8110,36890,0,746,7983.42,Pay
M,2750,3,2755,35,596,22,604,2693,2695,2729,5,529,36,34,227000,27000,200000,11.3,7969.37,270958.7,45000,8110,36890,0,746,7969.37,Pay
M,2750,2,2755,14,596,27,1783,2693,2695,2729,6,529,24,23,227000,77000,150000,12,8175.76,188042.6,37500,12250,25250,0,746,8175.76,Pay
F,2750,2,2755,10,596,31,1783,2693,2695,2729,8,531,48,47,619766,31766,588000,7,16030.5,753433.6,75000,37333,37667,0,564,16030.5,Pay
M,2750,5,2755,35,596,36,604,2693,2695,2729,4,529,36,34,227000,32000,195000,12,7931.07,269656.72,45000,8110,36890,0,746,7931.07,Pay
M,2750,3,2755,35,596,38,604,2693,2695,2729,8,531,48,46,556357,29357,527000,8.2,15232.16,700679.36,60000,12575,47425,0,746,15232.16,Pay
M,2750,5,2755,35,596,48,604,2693,2695,2729,8,529,36,34,227000,27000,200000,11.2,8206.14,279008.9,45000,8110,36890,0,746,8206.14,Pay
M,2750,7,2755,22,596,32,604,2693,2695,2729,8,529,36,35,227000,27000,200000,13,8053.3,281865.58,36000,17460,18540,0,746,8053.3,Pay
M,2750,4,2755,20,596,42,1783,2693,2695,2729,10,531,48,47,619766,31766,588000,7.4,16666.65,783332.95,112500,60000,52500,0,564,16666.65,Pay
M,2750,4,2755,30,596,22,604,2693,2695,2729,8,529,36,34,228690,28690,200000,11.2,7951.51,270351.62,45000,8070,36930,0,746,7951.51,Pay
F,2750,3,2755,10,596,45,1783,2693,2695,2729,8,529,36,35,227000,27000,200000,13,8164.74,285765.93,42000,12433,29567,0,746,8164.74,Pay
M,2750,2,2755,20,596,25,1783,2693,2695,2729,7,531,48,47,692664,42664,650000,7.2,17829.75,837998.56,93500,44214,49286,0,746,17829.75,Pay
M,2750,6,2755,40,596,52,603,2693,2695,2729,10,531,48,47,692664,69664,623000,7.2,17089.84,803222.56,110500,50083,60417,0,746,17089.84,Pay
M,2750,3,2755,15,596,45,1783,2693,2695,2729,10,529,36,35,228690,33690,195000,12,7836.79,274287.86,49920,7160,42760,0,746,7836.79,Pay
